id,adresa,prum_cena
2813,"Opatovická 24, 110 00 Praha 1",76.61538461538461
2702,"Vinohradská 226, 100 00 Praha 10",81.5
2778,"Tomanova 1/1028,  Praha 6",130.9090909090909
5808,"Ohradní 421/22, 140 00 Praha 4",40.357142857142854
2704,"Přístavní 2, 170 00 Praha 7",80.75
714,"Plavecká 3, 128 00 Praha 2",78.0
2034,"Škroupovo náměstí 5, 130 00 Praha 3",142.5
914,"Thákurova 1, 160 00 Praha 6",74.65306122448979
5911,"Korunní 75, 130 00 Praha 3",54.4375
1903,"Martinská 5/419, 110 00 Praha 1",69.36
5801,"Březinova 513/2, 180 00 Praha 8",119.66666666666667
5774,"Siemensova 4, 150 00 Praha 5",58.733333333333334
5757,"Smetanovo nábřeží 22, 110 00 Praha 1",149.0
5734,"Náměstí Republiky 8, 110 00 Praha 1",256.8181818181818
2538,"Karolíny Světlé 27, 110 00 Praha 1",41.42857142857143
5658,"Osvětová 991, 149 00 Praha 4",199.0
5597,"Na Příkopě 10, 110 00 Praha 1",90.20289855072464
5577,"Chlumecká 765/6, 198 19 Praha 9",83.14516129032258
2371,"U Obecního dvora 4, 110 00 Praha 1",160.1891891891892
5464,"Náměstí republiky 1078/1, 110 00 Praha 1",83.06451612903226
2365,"Thámova 221/7, 186 00 Praha 8",54.0
4906,"Seydlerova 9, 158 00 Praha 13",103.83333333333333
1976,"Národní 40/36, 110 00 Praha 1",112.5
2331,"Novozámecká 284, 190 12 Praha 9",37.4
5459,"Václavské náměstí 9, 110 00 Praha 1",97.0945945945946
5415,"Václavské nám. 59, 110 00 Praha 1",83.06451612903226
3820,"Jenečská 20, 163 00 Praha 6",107.13333333333334
5401,"Sokolovská 2080, 150 00 Praha 8",94.61538461538461
10176,"Křižíkova 71, 186 00 Praha 8",123.97752808988764
10384,"Vosátkova 1, 142 00 Praha 4",74.91666666666667
9668,"Bubenečská 282/ 8, 160 00 Praha 6",90.0
4083,"Arkalycká 877, 149 00 Praha 4",59.3125
10262,"Chodovská 3/228, 141 00 Praha 4",62.166666666666664
10230,"Na Florenci 15, 110 00 Praha 1",180.0
7140,"Jirečkova 13, 170 00 Praha 7",77.3
7144,"Novákových 7, 180 00 Praha 8",98.16666666666667
10094,"Moskévská 30, 101 00 Praha 10",122.0
10052,"Křemencova 11, 110 00 Praha 1",199.0
10060,"Korunní 98, 101 00 Praha 10",49.166666666666664
10068,"Belgická 11, 120 00 Praha 2",95.0
7018,"Petrské náměstí 7, 110 00 Praha 1",44.833333333333336
9968,"Dvořákovo nábřeží, 110 00 Praha 1",145.0
9822,"Mráčkova 3059/5, 143 00 Praha 4",79.8
9940,"V Jirchářích 2, 110 00 Praha 1",73.14285714285714
7986,"Plzeňská 215f, 150 00 Praha 5",143.1818181818182
5287,"Slavětínská 98, 190 14 Praha 9 - Klánovice",70.23529411764706
9894,"Ke Kladivům 10, 165 00 Praha 6",44.65
6949,"Karlovo náměstí 6, 120 00 Praha 2",75.11111111111111
9780,"v Holešovičkách 1401/5, 182 00 Praha 8",90.75
9800,"Řevnická 1, 155 21 Praha 5",79.72972972972973
6115,"Tomášská 14/21, 110 00 Praha 1",222.33333333333334
6177,"Betlémská 12, 110 00 Praha 1",55.333333333333336
9750,"Strakonická 2860/4, 150 00 Praha 5",81.33333333333333
6870,"Kyselova 1657/5, 182 00 Praha 8",66.7
9736,"Radlická 117, 158 00 Praha 5",86.14285714285714
9700,"Řevnická 1, 155 01 Praha 5",50.333333333333336
9352,"Loretánské náměstí 4/110, 118 00 Praha 1",85.71428571428571
9640,"Korunní 96, 101 00 Praha 10",158.0
6213,"Vodičkova 39, 110 00 Praha 1",77.0
6837,"Novodvorská 151, 142 00 Praha 4",77.25
9572,"Olšanské náměstí, 130 00 Praha 3",22.0
9608,"Balbínova 22, 120 00 Praha 2",98.85714285714286
9548,"Pod Harfou 938/40, 190 00 Praha 9",142.55555555555554
3745,"Šaldova 34, 186 00 Praha 8",111.41176470588235
2902,"Vacínova 10, 180  00 Praha 8",102.5
6703,"Radhošťská 2004/5, 130 00 Praha 3",110.2
9452,"Krakovská 20, 110 00 Praha 1",101.0
650,"Sokolovská 23, 180 00 Praha 8",145.11320754716982
9408,"Hybernská 26, 1100 Praha 1",112.58333333333333
9394,"Milady Horákové 47, 170 00 Praha 7",81.13888888888889
9146,"U Kanálky 14, 120 00 Praha 2",265.0
4633,"Zbraslavské náměstí 453, 156 00 Praha 5",105.0
9250,"Pikovická 3, 147 00 Praha 4",90.41666666666667
9354,"Navrátilova 6, 110 00 Praha 1",161.42857142857142
9308,"Seifertova 67, 130 00 Praha 3",89.0
9310,"Rumunská 25, 120 00 Praha 2",89.0
9312,"Šmeralova 3/137, 170 00 Praha 7",94.28571428571429
9314,"Štefánikova 77/52, 150 00 Praha 5",88.53333333333333
4769,"Arbesovo náměstí 1, 150 00 Praha 5",68.5
9290,"Žitavského 495, 153 00 Praha 5",59.05882352941177
1075,"Urxova 5, 186 00 Praha 8",111.59183673469387
6632,"Štěpánská 3, 120 00 Praha 2",90.33333333333333
2965,"Mladoboleslavská 224, 190 17 Praha 9 - Vinoř",89.14925373134328
9202,"Na Pankráci 49, 140 00 Praha 4",89.0
9162,"Vyšehradská 43, 120 00 Praha 2",99.86666666666666
788,"Lidická 42, 150 00 Praha 5",80.56363636363636
2669,"Na Pankráci 15, 140 21 Praha 4",161.48387096774192
8594,"Bořijova 10, 130 00 Praha 3",84.0
1692,"Rokycanova 10, 130 00 Praha 3",66.0909090909091
6134,"Turínská 1494/1, 109 00 Praha 10",65.66666666666667
8504,"Musílkova 35, 150 00 Praha 5",115.0
6112,"Zenklova 131/222, 182 00 Praha 8",59.095238095238095
5653,"Goetheho 25/105, 160 00 Praha 6",79.5
1256,"Radlická 298/105, 150 00 Praha 5",41.089285714285715
2690,"Klimentská 26, 110 00 Praha 1",57.8
8494,"Nad Lávkou 5/790, 160 00 Praha 6",111.1
947,"Sokolovská 198/207, 190 00 Praha 9",107.0
4720,"Seminářská zahrada 393, 118 00 Praha 1",125.25
8414,"Malostranské nám. 25,  Praha 1",80.0
6046,"Na Příkopě 19, 1.patro NG Myslbek, 110 00 Praha 1",273.3333333333333
8252,"U Průhonu 54, 170 00 Praha 7",47.6
8254,"Dělnická 30, 170 00 Praha 7",46.4
1912,"Na Dědince 12, 180 00 Praha 8",64.33333333333333
8080,"Suchý Vršek 2122/33, 155 00 Praha 5",35.0
7974,"Milady Horákové 35, 170 00 Praha 7",61.064516129032256
7574,"Jugoslávská 7/670, 120 00 Praha 2",69.36363636363636
7970,"V Celnici 4, 110 00 Praha 1",298.3333333333333
8054,"V Jámě 8/1371, 110 00 Praha 1",58.4
8068,"Ovocný trh 6, 110 00 Praha 1",85.0
8018,"U Průhonu 46, 170 00 Praha 7",93.0
5454,"Panská 1308/9, 110 00 Praha 1",152.89473684210526
2403,"Sokolovská 258, 190 00 Praha 9",94.3
7876,"Maltézské náměstí 9, 118 00 Praha",100.0
7888,"Žitná 11, 110 00 Praha 1",57.42857142857143
4698,"Toužimská 51 (křižovatka Toužimská/Ašská), 190 00 Praha 9",155.6
7826,"náměstí Republiky 656/8, 110 00 Praha 1",79.77777777777777
7812,"Wolkerova 12, 160 00 Praha 6",72.0
7764,"Týn 6, 110 00 Praha 1",109.0
2131,"Jihlavská 507, 140 00 Praha 4",117.52380952380952
7696,"Hálkova 6, 120 00 Praha 2",63.666666666666664
5716,"Na Pankráci 1600/82, 140 00 Praha 4",32.666666666666664
7678,"Vinohradská 1510/228, 100 00 Praha 10",95.0
7686,"Na Bělidle 42, 150 00 Praha 5",121.0
7688,"Hvězdova 2860/24, 140 00 Praha 4",132.57142857142858
5753,"Podolské nábřeží - Přístav 1, 147 00 Praha 4, Podolí",105.8
7604,"Ostrovní 34, 110 00 Praha 1",172.57142857142858
7612,"Štefánikova 7, 150 00 Praha 5",79.39393939393939
7658,"Oblouková 17, 101 00 Praha 10",67.64285714285714
7158,"Na Pankráci 86, 140 00 Praha 4",30.0
7160,"Náměsí Republiky 1, 110 00 Praha 1",30.0
861,"Vysočanská 382, 190 00 Praha 9",168.0
1807,"S.K.Neumanna 35, 182 00 Praha 8",78.28571428571429
7490,"Sokolovská 150/1273, 180 00 Praha 8",49.333333333333336
2249,"Vrchlického 96, 150 00 Praha 5",71.0
2315,"Vodičkova 6, 110 00 Praha 1",45.0
5589,"Králodvorská 4, 110 00 Praha 1",121.66666666666667
7346,"Londýnska 315/71, 120 00 Praha 2",228.21428571428572
396,"Ve smečkách 27, 110 00 Praha 1",228.25301204819277
7070,"Moskevská 529, 101 00 Praha 10",46.714285714285715
8192,"Bruselská 8, 120 00 Praha 2",106.78571428571429
9704,"Branická 146/1881, 147 00 Praha 4",66.85714285714286
9570,"Vojtěšská 9, 110 00 Praha 1",105.0
5656,"Preslova 13, 150 00 Praha 5",116.1875
9462,"Náměstí republiky 1, 110 00 Praha 1",71.76
9516,"Starostrašnická 54, 100 00 Praha 10",81.15
9428,"Koněvova 1194/85, 130 00 Praha",67.94736842105263
9330,"Karlovo náměstí 34, 120 00 Praha 2",87.58823529411765
6695,"Národní 11, 110 00 Praha 1",121.0
9154,"Francouzská 72, 101 00 Praha 10",82.38461538461539
9136,"Ohradní 1166/26, 140 00 Praha 4",99.0
809,"Štefánikova 44, 150 00 Praha 5",45.0
4278,"Kudrnova 234/4a, 150 00 Praha 5",89.66666666666667
9070,"Vršovická 51, 100 00 Praha 10",75.0
9096,"U Milosrdných 848/4, 110 00 Praha 1",136.5
9010,"U Rajské zahrady 639/16, 130 00 Praha 3",128.63636363636363
6855,"Národní 37, 110 00 Praha",88.42857142857143
482,"Slezská 32, 120 00 Praha 2",81.0
4924,"Mukařovského 1985, 155 00 Praha 5",133.0
5510,"Areál Výstaviště 67, 170 00 Praha 7",71.94444444444444
8790,"Klapkova 127/6, 182 00 Praha 8",115.44736842105263
9184,"Náměstí Míru 15, 120 00 Praha",88.57142857142857
9446,"Těšnov 1, 110 00 Praha 1",92.66666666666667
6630,"Tulipánová 142, 252 43 Praha 4",105.0
