id,adresa,prum_cena,x,y
4070,"Na Pískách 1815/29, 160 00 Praha 6",83.15384615384616,14.3727075,50.1041797
3579,"Politických vězňů 12, 110 00 Praha 1",174.88888888888889,14.4298715,50.0823396
2942,"U Zvonařky 1, 120 00 Praha 2",372.0833333333333,14.4345128,50.0697915
2885,"Elišky Přemyslovny 433, 156 00 Praha 5",61.666666666666664,14.3930505,49.97387730000001
468,"Pštrossova 220/29, 110 00 Praha 1",134.13513513513513,14.4153224,50.0797204
7280,"Revoluční 1, 110 00 Praha 1",49.0,14.427926,50.0895457
450,"Palackého 715/15, 110 00 Praha 1",129.58823529411765,14.4239845,50.080847
3302,"Myslíkova 29, 110 00 Praha 1",79.0,14.4188087,50.07816529999999
3859,"Bozděchova 3, 150 00 Praha 5",81.2,14.4045378,50.07030779999999
1346,"Sokolovská 31, 180 00 Praha 8",100.0,14.4787095,50.1035596
2855,"Ovocný trh 8, 110 00 Praha 1",114.57142857142857,14.4244623,50.0862583
1826,"Bartolomějská 11, 110 00 Praha 1",139.0,14.4177534,50.0831449
2644,"Vodičkova 5, 120 00 Praha 2",181.47619047619048,14.4216339,50.07871890000001
409,"Běhounkova 2579, 158 00 Praha 5 - Stodůlky",289.0,14.3389349,50.0531406
1788,"Křižíkova 10, 186 00 Praha 8",87.0,14.4410241,50.0901801
1867,"Veleslavínova 3, 110 00 Praha 1",74.4,14.4159991,50.0878916
2004,"Betlémské náměstí 169/5A, 110 00 Praha 1",112.54545454545455,14.4177335,50.0842819
3385,"Bořivojova 116, 130 00 Praha 3",67.4,14.4450466,50.0824116
3568,"Ke Mlýnu 1, 149 00 Praha 4",87.0,14.5462018,50.01326359999999
789,"Břetislavova 309, 110 00 Praha 1",115.33333333333333,14.4007924,50.0874503
3508,"Náměstí bratří Synků 1, 140 00 Praha 4",24.0,14.4415747,50.0645368
732,"Strossmayerovo náměstí 2, 170 00 Praha 7",119.0,14.4338911,50.0990979
3313,"Na Moráni 17, 120 00 Praha 2",325.0,14.4178047,50.0738487
6691,"Spálená 45, 110 00 Praha 1",87.02702702702703,14.4206388,50.0811512
1331,"Plaská 615\8, 150 00 Praha 5",170.0,14.4056677,50.0807677
6662,"Tachovské náměstí 6, 130 99 Praha 3",92.25,14.4534303,50.08754279999999
6634,"Pod Karlovem 12, 120 00 Praha 2",110.0,14.4332861,50.06797659999999
3297,"Tupolevova 676, Letňany, 199 00 Praha 9",133.63636363636363,14.5056523,50.1438352
2620,"Vinohradská 149, 130 00 Praha 3",87.8,14.4616475,50.07791839999999
4531,"Kodymova 2526/4, 158 00 Praha 13",38.333333333333336,14.3378069,50.0513656
1023,"Michelská 41, 141 00 Praha 4",74.4,14.4542903,50.0521531
6201,"Jánský vršek 8, 118 00 Praha 1",48.0,14.3986701,50.0880602
1465,"Na Stráži 1, 180 00 Praha 8",57.6,14.4692438,50.1164171
5462,"翠园大酒店 Rytířská 10, 110 00 Praha 1",99.0,14.4214317,50.08421
2834,"Rumunská 32, 120 00 Praha 2",69.66666666666667,14.4346995,50.0743103
2954,"Dlouhá 21, 110 00 Praha 1",80.91666666666667,14.4243394,50.0902043
2540,"Liliová 15, 110 00 Praha 1",154.25,14.4162562,50.0857247
6056,"Školská 12, 120 00 Praha 2",98.0,14.4245376,50.0783212
5982,"Plaská 4, 150 00 Praha 5",252.22222222222223,14.4063225,50.08072019999999
2813,"Opatovická 24, 110 00 Praha 1",76.61538461538461,14.4183987,50.0799939
2702,"Vinohradská 226, 100 00 Praha 10",81.5,14.4870757,50.0769265
2778,"Tomanova 1/1028,  Praha 6",130.9090909090909,14.3567321,50.0787136
5808,"Ohradní 421/22, 140 00 Praha 4",40.357142857142854,14.4554605,50.052221
2704,"Přístavní 2, 170 00 Praha 7",80.75,14.44742,50.1040498
714,"Plavecká 3, 128 00 Praha 2",78.0,14.415475,50.0694587
2034,"Škroupovo náměstí 5, 130 00 Praha 3",142.5,14.4490046,50.0807812
914,"Thákurova 1, 160 00 Praha 6",74.65306122448979,14.3871085,50.1010178
5911,"Korunní 75, 130 00 Praha 3",54.4375,14.4507274,50.0756031
1903,"Martinská 5/419, 110 00 Praha 1",69.36,14.4198687,50.0833871
5801,"Březinova 513/2, 180 00 Praha 8",119.66666666666667,14.45712,50.09266909999999
5774,"Siemensova 4, 150 00 Praha 5",58.733333333333334,14.3061492,50.0473053
5757,"Smetanovo nábřeží 22, 110 00 Praha 1",149.0,14.4139948,50.0850176
5734,"Náměstí Republiky 8, 110 00 Praha 1",256.8181818181818,14.4277074,50.0890997
2538,"Karolíny Světlé 27, 110 00 Praha 1",41.42857142857143,14.4142711,50.0836684
5658,"Osvětová 991, 149 00 Praha 4",199.0,14.5136525,49.9947561
5597,"Na Příkopě 10, 110 00 Praha 1",90.20289855072464,14.4248101,50.08501159999999
5577,"Chlumecká 765/6, 198 19 Praha 9",83.14516129032258,14.5866234,50.1086485
2371,"U Obecního dvora 4, 110 00 Praha 1",160.1891891891892,14.4232586,50.0910424
5464,"Náměstí republiky 1078/1, 110 00 Praha 1",83.06451612903226,14.4287219,50.0891861
2365,"Thámova 221/7, 186 00 Praha 8",54.0,14.4530251,50.0914595
4906,"Seydlerova 9, 158 00 Praha 13",103.83333333333333,14.3470614,50.049996
1976,"Národní 40/36, 110 00 Praha 1",112.5,14.4217499,50.0828429
2331,"Novozámecká 284, 190 12 Praha 9",37.4,14.5714615,50.0887121
3820,"Jenečská 20, 163 00 Praha 6",107.13333333333334,14.3265956,50.0924755
10176,"Křižíkova 71, 186 00 Praha 8",123.97752808988764,14.4510285,50.092662
10384,"Vosátkova 1, 142 00 Praha 4",74.91666666666667,14.4372262,50.015001
9668,"Bubenečská 282/ 8, 160 00 Praha 6",90.0,14.4044519,50.098679
4083,"Arkalycká 877, 149 00 Praha 4",59.3125,14.528583,50.0315585
10262,"Chodovská 3/228, 141 00 Praha 4",62.166666666666664,14.4745436,50.0527486
10230,"Na Florenci 15, 110 00 Praha 1",180.0,14.4356718,50.088652
7140,"Jirečkova 13, 170 00 Praha 7",77.3,14.4229228,50.0992513
7144,"Novákových 7, 180 00 Praha 8",98.16666666666667,14.4747294,50.1032336
10094,"Moskévská 30, 101 00 Praha 10",122.0,14.4511362,50.069981
10052,"Křemencova 11, 110 00 Praha 1",199.0,14.4172124,50.0786525
10060,"Korunní 98, 101 00 Praha 10",49.166666666666664,14.4550313,50.0753244
10068,"Belgická 11, 120 00 Praha 2",95.0,14.4363031,50.0718016
7018,"Petrské náměstí 7, 110 00 Praha 1",44.833333333333336,14.430723,50.091393
9968,"Dvořákovo nábřeží, 110 00 Praha 1",145.0,14.4213501,50.09293779999999
9822,"Mráčkova 3059/5, 143 00 Praha 4",79.8,14.4219525,50.0132248
9940,"V Jirchářích 2, 110 00 Praha 1",73.14285714285714,14.4156852,50.0798121
7986,"Plzeňská 215f, 150 00 Praha 5",143.1818181818182,14.3501068,50.0679178
5287,"Slavětínská 98, 190 14 Praha 9 - Klánovice",70.23529411764706,14.667908,50.0931209
9894,"Ke Kladivům 10, 165 00 Praha 6",44.65,14.384168,50.1289565
6949,"Karlovo náměstí 6, 120 00 Praha 2",75.11111111111111,14.4211018,50.0781686
9780,"v Holešovičkách 1401/5, 182 00 Praha 8",90.75,14.453475,50.117856
9800,"Řevnická 1, 155 21 Praha 5",79.72972972972973,14.2875481,50.053295
6115,"Tomášská 14/21, 110 00 Praha 1",222.33333333333334,14.4048686,50.0894919
6177,"Betlémská 12, 110 00 Praha 1",55.333333333333336,14.4165227,50.0838384
