id,adresa,prum_cena
9264,"U zámeckého parku 682, 436 01 Litvínov",40.333333333333336
9164,"Ondříčkova 9, 400 11 Ústí nad Labem",75.0
3040,"Mírové náměstí 25, 41201 Litoměřice",89.810126582278485
4409,"Valdštejnská 282, 436 01 Litvínov",53.75
9018,"Osvoboditelů 1191, 410 02 Lovosice",73.125
2021,"Palachova 1639/5, 400 01 Ústí nad Labem",95.0
8746,"Pokratická 97/13, 412 01 Litoměřice",83.25
8274,"K Loučkám 1562, 436 01 Litvínov",nan
7762,"Želenická 1540, 405 02 Děčín",nan
3341,"Aloise Jiráska 3149, 415 01 Teplice",56.5
3285,"Rytířská 77/2, 405 02 Děčín",nan
3095,"Komenského 152, 411 55 Terezín",nan
4667,"Sokolská 27, 436 01 Litvínov",nan
3867,"Československé armády 1284, 434 01 Most",103.875
4665,"Tyrše a Fugnera 51, 436 01 Litvínov",54.166666666666664
2975,"U Císařských lázní 21, 415 01 Teplice",nan
8936,"Kostelní náměstí 2, 412 01 Litoměřice",nan
3198,"Labské nábřeží 669/2, 405 02 Děčín",137.19999999999999
4832,"Mírové náměstí 56, 440 01 Louny",99.0
3071,"Plešivecká 16, 412 01 Litoměřice",34.25
3601,"U Stadionu 1205, 434 01 Most",69.166666666666671
3639,"Javorová 1194, 434 01 Most",130.81818181818181
4339,"Žatecká 186, 440 01 Louny",165.625
4387,"Ruská 144, 436 01 Litvínov",nan
4653,"náměstí Prokopa Velkého 1951, 438 01 Žatec",57.666666666666664
4677,"Svatovaclavská 2126, 438 01 Žatec",92.07692307692308
5538,"Osvoboditelů 39/17, 410 02 Lovosice",139.21428571428572
2303,"Blažkova 654, 460 01 Liberec",113.2
1957,"Nerudovo náměstí 101/4, 460 01 Liberec",68.92307692307692
3083,"Anenské náměstí 8, 466 01 Jablonec nad Nisou",64.19047619047619
8222,"Nitranská 1, 460 01 Liberec",45.695652173913047
4024,"Hodkovická 206, 460 06 Liberec",51.333333333333336
3850,"Pražská 13, 460 01 Liberec",58.100000000000001
5027,"Generála Mrázka 698/8, 466 01 Jablonec nad Nisou",82.306451612903231
6000,"Liberecká 400, 463 34 Hrádek nad Nisou",58.0
5086,"Rynoltice 96, 463 53 Rynoltice",nan
2014,"Moskevská 11, 460 01 Liberec",nan
5361,"Tržní náměstí 1338, 460 01 Liberec",104.01219512195122
5362,"Šaldovo náměstí 1404, 460 01 Liberec",122.69565217391305
2077,"Sokolská 1365 staré město, 460 01 Liberec",nan
3890,"O.C. Delta,Fügnerova 667/7, 460 01 Liberec 4",nan
1997,"Moskevská 4, 460 01 Liberec",65.396825396825392
4364,"Husova 1094/87, 460 01 Liberec",45.416666666666664
4979,"Svatopluka Čecha 59, 466 02 Jablonec nad Nisou",79.200000000000003
5405,"Českých Bratří 114, 543 01 Vrchlabí",81.5
10462,"Brněnská 302, 500 09 Hradec Králové",129.0
9802,"Krakonošovo náměstí 118, 541 01 Trutnov",94.599999999999994
6696,"Náměstí 67, 543 71 Hostinné",79.519999999999996
4327,"Fr. Halase 1806, 500 09 Hradec Králové",54.666666666666664
6349,"Čelakovského 505, 500 01 Hradec Králové",nan
6273,"Palackého 81, 541 01 Trutnov",nan
5818,"Náměstí Svobody 273, 542 25 Janské Lázně",93.333333333333329
5590,"Tovární 2, 541 02 Trutnov",90.833333333333329
5639,"Mladé Buky 213, 543 23 Mladé Buky",95.0
5599,"K Pěti Bukům 678, 541 02 Trutnov",82.0
1994,"Komenského 266/3, 500 02 Hradec Králové",114.14285714285714
6303,"Rybova 1901/14, 500 09 Hradec Králové",245.0
9992,"Lípová 509, 541 01 Trutnov",68.315789473684205
10136,"Colinova 421, 500 03 Hradec Králové",98.698113207547166
10040,"Tyršovo náměstí 298, 565 01 Choceň",54.799999999999997
7540,"Kostelecká 1174, 547 01 Náchod",62.909090909090907
6741,"Velké náměstí 32, 500 03 Hradec Králové",77.666666666666671
5476,"Štefánikova ul., 500 11 Hradec Králové",nan
5588,"Horská 1, 541 01 Trutnov",89.799999999999997
8780,"Pražská 589, 500 04 Hradec Králové",nan
3410,"Komenského 1245, 500 01 Hradec Králové",nan
8196,"Eliščino nábřeží 842/3, 500 03 Hradec Králové",85.0
5643,"Lomní 143, 541 01 Trutnov",67.5
1871,"Opletalova 328, 500 03 Hradec Králové",58.833333333333336
10444,"Brněnská 1825, 500 09 Hradec Králové",nan
